Título;Ano;Nota;Sinopse;Diretor;Elenco Principal
Aliens: O Resgate;1986;8,4;Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.;James Cameron;Sigourney Weaver, Michael Biehn, Carrie Henn
Batman: O Cavaleiro das Trevas Ressurge;2012;8,4;Passaram-se oito anos desde a morte de Harvey Dent e o Batman, ao assumir a culpa pela morte do promotor, desapareceu. Agora, ele terá de lidar com a chegada da Mulher Gato e de Bane em Gotham City.;Christopher Nolan;Christian Bale, Tom Hardy, Anne Hathaway
Viva: A Vida é uma Festa;2017;8,4;O aspirante a músico Miguel, confrontado com a proibição ancestral da música pela sua família, entra na Terra dos Mortos para encontrar o seu tataravô, um cantor lendário.;Lee Unkrich;Anthony Gonzalez, Gael García Bernal, Benjamin Bratt
Amadeus;1984;8,4;A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.;Milos Forman;F. Murray Abraham, Tom Hulce, Elizabeth Berridge
Vingadores: Ultimato;2019;8,4;Após os eventos devastadores de Vingadores: Guerra Infinita, o universo está em ruínas. E com a ajuda de aliados, os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.;Anthony Russo;Robert Downey Jr., Chris Evans, Mark Ruffalo
Céu e Inferno;1963;8,4;Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.;Akira Kurosawa;Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai
Gênio Indomável;1997;8,3;Will Hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito.;Gus Van Sant;Robin Williams, Matt Damon, Ben Affleck
Toy Story;1995;8,3;Um boneco cowboy fica ciumento quando um novo boneco astronauta se torna o brinquedo principal no quarto de um menino. Quando as circunstâncias os separam de seu dono, os dois precisam esquecer suas diferenças para voltar para ele.;John Lasseter;Tom Hanks, Tim Allen, Don Rickles
Oldboy;2003;8,3;Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.;Park Chan-wook;Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong
Dr. Fantástico;1964;8,3;Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.;Stanley Kubrick;Peter Sellers, George C. Scott, Sterling Hayden
O Barco: Inferno no Mar;1981;8,4;O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.;Wolfgang Petersen;Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann
Coração Valente;1995;8,3;Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.;Mel Gibson;Mel Gibson, Sophie Marceau, Patrick McGoohan
Your Name;2016;8,4;Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?;Makoto Shinkai;Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita
Princesa Mononoke;1997;8,3;Um príncipe sofre com uma maldição mortal e parte em busca da cura. Ele acaba indo parar no meio da batalha entre uma cidade mineradora e os animais da floresta.;Hayao Miyazaki;Yôji Matsuda, Yuriko Ishida, Yûko Tanaka
Beleza Americana;1999;8,3;Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.;Sam Mendes;Kevin Spacey, Annette Bening, Thora Birch
3 Idiotas;2009;8,4;Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.;Rajkumar Hirani;Aamir Khan, Madhavan, Mona Singh
Coringa;2019;8,3;Um comediante falido enlouquece e se torna um assassino psicopata.;Todd Phillips;Joaquin Phoenix, Robert De Niro, Zazie Beetz
Cafarnaum;2018;8,4;Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.;Nadine Labaki;Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole
Era uma Vez na América;1984;8,3;Dois amigos leais crescem juntos cometendo pequenos crimes nas ruas do Lower East Side, em Manhattan, mas essa parceria com o tempo se desfaz em morte e mistério.;Sergio Leone;Robert De Niro, James Woods, Elizabeth McGovern
Cantando na Chuva;1952;8,3;Uma produtora de cinema mudo e seu elenco enfrentam uma transição difícil para o cinema falado.;Stanley Donen;Gene Kelly, Donald O'Connor, Debbie Reynolds
